,,1,1,1,136088194,136088194,136088194,136088202,136088202,136088202,136088394,136088394,136088394,136088802,136088802,136088802,136089546,136089546,136089546,136110468,136110468,136110468,136216674,136216674,136216674,136222202,136222202,136222202,136222210,136222210,136222210,136222234,136222234,136222234,136222250,136222250,136222250,136222882,136222882,136222882,136223186,136223186,136223186,136224578,136224578,136224578,136224586,136224586,136224586,136224978,136224978,136224978,136225010,136225010,136225010,136675426,136675426,136675426,136675626,136675626,136675626,136676578,136676578,136676578,136676650,136676650,136676650,136676666,136676666,136676666,136676682,136676682,136676682,136676698,136676698,136676698,136676714,136676714,136676714,136676754,136676754,136676754,Label
,,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,
Machine,Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M040_A1,2015-05-30,11.0,7850.549028900001,9407.843666684488,,,,,,,,,,,,,1.0,,,2168.0,36.16993214028611,582.0493463699389,,,,2.0,54422.701916,0.0,3.0,16168.2143815,9669.4003545,,,,,,,,,,,,,6.0,10884.6195964,21768.843445300005,15.0,5384.429183285714,8686.993834382725,,,,4910.0,17.18093055978814,179.3704826835637,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
M040_A1,2015-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
M040_A1,2015-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
M040_A1,2015-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
M040_A1,2015-06-03,,,,,,,,,,,,,,,,,,,336.0,39.068113576119394,518.6425043233144,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.084161,0.0,,,,2.0,240.980366,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
M040_A1,2015-06-04,,,,,,,,,,,,,,,,,,,524.0,164.98607092351818,743.7081506594334,,,,5.0,13321.840333749999,15517.511932137026,3.0,10761.4235085,2622.5688425000003,,,,,,,1.0,,,,,,35.0,1712.231934705882,5094.140151766763,43.0,2046.9487093333335,4816.412369118385,,,,370.0,231.54685812195117,739.6464438110147,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,True
M040_A1,2015-06-05,,,,,,,,,,,,,,,,1.0,,,2907.0,29.497134672057815,424.5115148803013,,,,8.0,9779.267904285716,14880.268016992737,6.0,15114.9077414,11629.569309025148,,,,,,,2.0,1024.358141,0.0,,,,46.0,1727.641400488889,3495.585765001685,39.0,2201.827103236842,4021.070094384776,,,,361.0,237.6378683472222,782.2341290755073,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,False
