,,1,1,1,136088194,136088194,136088194,136088202,136088202,136088202,136088394,136088394,136088394,136088802,136088802,136088802,136089546,136089546,136089546,136110468,136110468,136110468,136216674,136216674,136216674,136222202,136222202,136222202,136222210,136222210,136222210,136222234,136222234,136222234,136222250,136222250,136222250,136222882,136222882,136222882,136223186,136223186,136223186,136224578,136224578,136224578,136224586,136224586,136224586,136224978,136224978,136224978,136225010,136225010,136225010,136675426,136675426,136675426,136675626,136675626,136675626,136676578,136676578,136676578,136676650,136676650,136676650,136676666,136676666,136676666,136676682,136676682,136676682,136676698,136676698,136676698,136676714,136676714,136676714,136676754,136676754,136676754,Label
,,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,
Machine,Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M040_A1,2015-05-31,11.0,7850.549028900001,9407.843666684488,,,,,,,,,,,,,1.0,,,2168.0,36.16993214028611,582.0493463699389,,,,2.0,54422.701916,0.0,3.0,16168.2143815,9669.4003545,,,,,,,,,,,,,6.0,10884.6195964,21768.843445300005,15.0,5384.429183285714,8686.993834382725,,,,4910.0,17.18093055978814,179.3704826835637,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
M040_A1,2015-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
M040_A1,2015-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
M040_A1,2015-06-03,,,,,,,,,,,,,,,,,,,336.0,39.068113576119394,518.6425043233144,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.084161,0.0,,,,2.0,240.980366,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
M040_A1,2015-06-04,,,,,,,,,,,,,,,,,,,860.0,116.23050723050059,667.5101088945556,,,,5.0,13321.840333749999,15517.511932137026,3.0,10761.4235085,2622.5688425000003,,,,,,,1.0,,,,,,35.0,1712.231934705882,5094.140151766763,45.0,1964.5091524999998,4721.077744267589,,,,372.0,231.78874083557952,737.6619986439862,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,False
M040_A1,2015-06-05,,,,,,,,,,,,,,,,1.0,,,3431.0,50.147679553061224,489.273151091397,,,,13.0,11009.262462666664,14564.573627964246,9.0,17724.28774925,13912.764429427049,,,,,,,3.0,57351.6474355,56327.2892945,,,,81.0,1715.6344336000002,4231.365848470451,82.0,2127.1305683703704,4429.827390116264,,,,731.0,236.3157787726027,761.9450208446899,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,True
M040_A1,2015-06-06,6.0,8193.566607,16356.358308633837,,,,,,,,,,,,,2.0,105096.351292,0.0,4753.0,35.26273174410775,381.82059409990416,,,,29.0,5522.663264535714,10715.884533459683,33.0,4994.63228240625,8758.845971879775,,,,,,,2.0,1024.358141,0.0,,,,154.0,1086.4530117124186,3600.108155372181,189.0,878.2424968723404,2892.275214961441,,,,659.0,261.34164912462006,901.2616275530472,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,False
